State,Population,Political_Party,Election,Cases,Deaths,Tests,Vaccine,Unemployment,GDP,Area,White,Black,Hispanic,Asian,High_School,College,Obesity,Life_Expectancy,Med_Age
Alabama,4903185,Republican,Republican,607209,11624,2906242,3699583,3.3,37261,52420.07,0.654,0.265,0.044,0.014,0.86,0.26,36.1,75.5,39.4
Alaska,731545,Republican,Republican,74244,390,2539899,704155,6.6,63971,665384.04,0.6,0.022,0.07,0.06,0.93,0.3,30.5,79,35
Arizona,7278717,Republican,Republican,946054,18388,5348069,7209235,6.8,38590,113990.3,0.542,0.043,0.318,0.033,0.87,0.3,31.4,80,38.2
Arkansas,3017825,Republican,Republican,404277,6301,4182955,2546791,4.4,36368,53178.55,0.721,0.152,0.078,0.016,0.87,0.23,37.4,76,38.5
California,39512223,Democratic,Democrat,4046728,64786,75404964,45890960,7.7,58619,163694.74,0.364,0.053,0.395,0.147,0.83,0.34,26.2,81.7,37
Colorado,5758736,Democratic,Democrat,581692,7255,3308035,6555288,6.2,52795,104093.67,0.678,0.038,0.218,0.032,0.92,0.41,23.8,80.6,37.1
Connecticut,3565287,Democratic,Democrat,358076,8296,10043043,4644569,7.9,64511,5543.41,0.657,0.1,0.169,0.046,0.91,0.39,29.1,80.9,41.1
Delaware,973764,Democratic,Democrat,112772,1835,759402,1104715,5.8,63664,2488.72,0.614,0.218,0.097,0.039,0.9,0.32,34.4,78.5,41.1
Florida,21477737,Republican,Republican,2770817,39695,33718946,23116303,5,39543,65757.7,0.53,0.15,0.266,0.027,0.88,0.3,27,80.2,42.5
Georgia,10617423,Republican,Republican,1211439,21802,12674681,9081621,4,44723,59425.15,0.52,0.313,0.098,0.041,0.87,0.31,33.1,77.9,37.1
Hawaii,1415872,Democratic,Democrat,46503,542,1908582,1731970,7.7,51277,10931.72,0.204,0.012,0.103,0.394,0.92,0.33,25,82.3,39.6
Idaho,1787065,Republican,Republican,204091,2217,1471620,1391212,3,35466,83568.95,0.816,0.007,0.129,0.012,0.91,0.28,29.5,79.4,36.9
Illinois,12671821,Democratic,Democrat,1436353,25992,27188772,13845631,7.2,54091,57913.55,0.609,0.136,0.176,0.056,0.89,0.35,31.6,79.4,38.6
Indiana,6732219,Republican,Republican,781326,14054,11366594,6154737,4.1,45317,36419.55,0.786,0.092,0.072,0.024,0.89,0.27,35.3,77.1,37.9
Iowa,3155070,Republican,Republican,413988,6193,5371762,3175312,4,50315,56272.81,0.853,0.039,0.063,0.023,0.92,0.29,33.9,79.4,38.5
Kansas,2913314,Democratic,Republican,339527,5299,1529696,2753365,3.7,46982,82278.36,0.757,0.055,0.122,0.028,0.91,0.33,35.2,78.5,37.1
Kentucky,4467673,Democratic,Republican,495132,7372,7317475,4279773,4.4,38985,40407.8,0.845,0.08,0.037,0.016,0.86,0.24,36.5,75.6,39.1
Louisiana,4648794,Democratic,Republican,573903,11210,8499174,3783465,6.9,43917,52378.13,0.588,0.319,0.052,0.017,0.85,0.24,35.9,76.1,37.5
Maine,1344212,Democratic,Republican,71304,901,2869140,1684357,4.8,38921,35379.74,0.932,0.014,0.017,0.011,0.93,0.32,31.7,78.7,45
Maryland,6045680,Republican,Democrat,474555,9861,11459000,7304903,6.2,55404,12405.93,0.499,0.296,0.106,0.064,0.9,0.4,32.3,79.2,39.1
Massachusetts,6949503,Republican,Democrat,726395,18095,24892730,9220250,4.9,65545,10554.39,0.705,0.07,0.124,0.067,0.91,0.44,25.2,80.6,39.6
Michigan,9986857,Democratic,Republican,1018601,21221,15378468,9893303,5,43372,96713.51,0.749,0.134,0.053,0.032,0.91,0.29,36,78.1,39.9
Minnesota,5639632,Democratic,Democrat,618906,7791,10796739,6155624,4,53704,86935.83,0.791,0.064,0.056,0.049,0.93,0.36,30.1,80.9,38.3
Mississippi,2976149,Republican,Republican,358149,7621,3072117,2233670,6.2,31881,48431.78,0.566,0.376,0.03,0.01,0.85,0.22,40.8,74.9,38
Missouri,6137428,Republican,Republican,701602,10459,8540407,5585416,4.3,43317,69706.99,0.794,0.112,0.043,0.021,0.9,0.29,34.8,77.3,38.9
Montana,1068778,Republican,Republican,118270,1723,1527910,984347,3.7,39356,147039.71,0.861,0.006,0.037,0.008,0.94,0.32,28.3,78.9,40.1
Nebraska,1934408,Republican,Republican,231069,2290,2133458,1967622,2.5,53114,77347.81,0.785,0.048,0.113,0.024,0.91,0.32,34.1,79.6,36.8
Nevada,3080156,Democratic,Democrat,363574,6005,3784808,3026079,7.8,43820,110571.82,0.478,0.092,0.293,0.085,0.87,0.25,30.6,78.7,38.3
New Hampshire,1359711,Republican,Democrat,101662,1389,2546721,1605844,2.9,51794,9349.16,0.898,0.013,0.039,0.026,0.93,0.37,31.8,79.7,43.1
New Jersey,8882190,Democratic,Democrat,1049222,26650,14750347,10522285,7.3,57084,8722.58,0.545,0.124,0.21,0.096,0.9,0.4,27.7,80.5,40.1
New Mexico,2096829,Democratic,Democrat,213793,4425,3862062,2523376,7.9,41348,121590.3,0.367,0.017,0.495,0.016,0.86,0.27,31.7,78,38.4
New York,19453561,Democratic,Democrat,2241094,54325,62154059,23298810,7.7,64579,54554.98,0.552,0.14,0.193,0.086,0.87,0.37,27.1,81.4,39.2
North Carolina,10488084,Democratic,Republican,1071137,13736,14618253,9890927,4.6,44325,53819.16,0.627,0.209,0.097,0.029,0.88,0.31,34,78.1,39.1
